Player,Position,Team,Salary
Jonathon Simmons,SF,Orlando Magic,6.3
Lonzo Ball,PG,Los Angeles Lakers,6.28656
Wayne Ellington,SG,Miami Heat,6.27
Isaiah Thomas,PG,Los Angeles Lakers,6.261395
Karl-Anthony Towns,C,Minnesota Timberwolves,6.21684
Ben Simmons,PG,Philadelphia 76ers,6.16884
Joel Embiid,C,Philadelphia 76ers,6.100266
Spencer Hawes,PF,Milwaukee Bucks,6.061175
Josh McRoberts,PF,Dallas Mavericks,6.021175
Milos Teodosic,PG,LA Clippers,6
Ersan Ilyasova,PF,Philadelphia 76ers,6
Alan Williams,PF,Phoenix Suns,6
Dewayne Dedmon,C,Atlanta Hawks,6
Wesley Johnson,SF,LA Clippers,5.88226
Tyler Johnson,SG,Miami Heat,5.88126
Alex Abrines,SG,Oklahoma City Thunder,5.725
Jayson Tatum,SF,Boston Celtics,5.6454
Jared Sullinger,C,Phoenix Suns,5.628
D\'Angelo Russell,PG,Brooklyn Nets,5.56236
Brandon Ingram,SF,Los Angeles Lakers,5.5194
Patrick Beverley,PG,LA Clippers,5.513514
Aaron Gordon,PF,Orlando Magic,5.50442
Thabo Sefolosha,SF,Utah Jazz,5.5
Luis Scola,PF,Brooklyn Nets,5.5
Jason Smith,PF,Washington Wizards,5.225
Ben McLemore,SG,Memphis Grizzlies,5.2
Patrick Patterson,PF,Oklahoma City Thunder,5.192
Nick Young,SG,Golden State Warriors,5.192
Josh Jackson,SG,Phoenix Suns,5.09004
C.J. Watson,PG,Orlando Magic,5
Greg Monroe,C,Phoenix Suns,5
Dirk Nowitzki,C,Dallas Mavericks,5
Mike Muscala,PF,Atlanta Hawks,5
Jahlil Okafor,C,Philadelphia 76ers,4.99512
Dante Exum,PG,Utah Jazz,4.992385
Alexis Ajinca,C,New Orleans Pelicans,4.961798
Jaylen Brown,SG,Boston Celtics,4.95648
Mike Dunleavy,SG,Atlanta Hawks,4.8375
Kyle Singler,SF,Oklahoma City Thunder,4.6665
Justin Holiday,SG,Chicago Bulls,4.615385
De\'Aaron Fox,PG,Sacramento Kings,4.6092
Marcus Smart,PG,Boston Celtics,4.53802
Kristaps Porzingis,PF,New York Knicks,4.5036
Dragan Bender,PF,Phoenix Suns,4.4688
Devin Harris,PG,Denver Nuggets,4.402546
Greivis Vasquez,PG,Brooklyn Nets,4.347826
Ron Baker,SG,New York Knicks,4.328
Aron Baynes,C,Boston Celtics,4.328
Alex Len,C,Phoenix Suns,4.187599
Nerlens Noel,C,Dallas Mavericks,4.187599
Jonathan Isaac,PF,Orlando Magic,4.18632
Lance Stephenson,SG,Indiana Pacers,4.18
Julius Randle,PF,Los Angeles Lakers,4.149242
Kyle O\'Quinn,C,New York Knicks,4.0875
Kris Dunn,PG,Chicago Bulls,4.04676
Leandro Barbosa,SG,Phoenix Suns,4
Jonas Jerebko,PF,Utah Jazz,4
Jordan Hill,C,Minnesota Timberwolves,4
Nemanja Bjelica,PF,Minnesota Timberwolves,3.949999
Mario Hezonja,SF,Orlando Magic,3.90984
J.J. Barea,PG,Dallas Mavericks,3.9039
Quincy Pondexter,SG,Chicago Bulls,3.853931
Lauri Markkanen,PF,Chicago Bulls,3.82164
Nik Stauskas,SG,Philadelphia 76ers,3.807147
Willie Cauley-Stein,C,Sacramento Kings,3.70416
Buddy Hield,SG,Sacramento Kings,3.67548
Drew Gooden,PF,Washington Wizards,3.547
Will Barton,SF,Denver Nuggets,3.533333
Paul Pierce,SF,LA Clippers,3.52792
Noah Vonleh,PF,Portland Trail Blazers,3.505233
Frank Ntilikina,PG,New York Knicks,3.50112
Mike Miller,SG,Denver Nuggets,3.5
Nene Hilario,C,Houston Rockets,3.4776
Zaza Pachulia,C,Golden State Warriors,3.4776
Troy Daniels,SG,Phoenix Suns,3.40852
Emmanuel Mudiay,PG,New York Knicks,3.38148
Jamal Murray,PG,Denver Nuggets,3.35532
Elfrid Payton,PG,Phoenix Suns,3.33234
Rajon Rondo,PG,New Orleans Pelicans,3.3
Doug McDermott,SF,New York Knicks,3.294994
Tyreke Evans,SG,Memphis Grizzlies,3.29
